,time,targetX,endEffectorX,targetY,endEffectorY,targetZ,endEffectorZ
190,41.033,2.3604497190107008,2.461,0.895834759425412,-0.173,8.097331974505533,8.405
191,41.149,2.373807274738227,3.063,0.9621135687654367,-0.234,8.058413235924894,7.928
192,41.267,2.362102943642329,2.509,1.0091580592424203,-0.228,8.046697809361671,8.009
193,41.368,2.3189415757427727,1.198,1.0172732961837485,-0.278,8.041552286389068,8.83
194,41.481,2.2109812917238347,2.347,1.1024950947294767,0.426,7.9844966195300735,8.234
195,41.566,2.1702845045041466,2.381,1.1650706054523559,0.437,7.961549806165737,8.261
196,41.698,2.1282521004050476,2.275,1.2106689460086828,0.432,7.945472474009835,8.265
197,41.825,2.10746612930252,2.309,1.2267852501607606,0.434,7.9363284219994945,8.267
198,41.951,2.0624753962275295,2.162,1.2734124305880448,0.534,7.921718465397506,8.252
199,42.056,1.9769459863422518,2.175,1.3221668424321937,0.516,7.879163187400651,8.18
200,42.154,1.9593041932933326,2.183,1.3444640595845392,0.345,7.8712118981278945,8.19
201,42.25,2.9135975993655943,1.386,1.3922093159940379,0.308,7.970967084058988,8.103
202,42.356,1.8008415028050322,2.059,1.4079345560114913,0.832,7.804135637339777,8.193
203,42.467,1.7551503683550647,1.875,1.439222311372931,0.818,7.78272277233331,8.2
204,42.565,1.7400189247887359,1.873,1.4734679813633733,1.084,7.774433071307101,8.15
205,42.668,1.6876608014090393,1.882,1.5643326516503226,1.004,7.750096550660135,8.162
206,42.814,1.637301249081504,1.763,1.5944537760866586,1.087,7.733797309157707,8.193
207,42.913,1.585119266245614,1.775,1.6340496758652308,1.066,7.703272291609464,8.124
208,43.032,1.5363893606816383,1.769,1.7078597505361548,1.092,7.693251697680341,8.155
209,43.123,1.4825402838799617,1.829,1.7152440387426315,1.405,7.663336930835048,8.055
210,43.209,1.4313499584363654,1.577,1.731004710745437,1.377,7.642111301839714,8.068
211,43.296,1.3406875079792282,1.484,1.769004858887422,1.359,7.601146836470777,8.102
212,43.4,1.2426673757512963,1.426,1.8012466532618545,1.425,7.561780118396838,8.079
213,43.515,1.2054282135371865,1.297,1.831640735214975,1.538,7.546989860450794,7.961
214,43.626,1.166025435194436,1.263,1.8538185334537272,1.66,7.526635225640579,7.994
215,43.739,1.136175854219685,1.254,1.8836601388945098,1.707,7.521484154934314,7.982
216,43.831,1.0337896555988286,1.248,1.9242861908397928,1.808,7.476037120765527,7.965
217,43.928,0.9863246333100585,1.093,1.9502814574262688,1.852,7.460346743032632,7.937
218,44.042,0.9373880746671297,1.007,1.9626472203140655,1.756,7.436313960803727,7.978
219,44.13,0.9245381365697843,0.969,1.973415919269521,1.746,7.4254390158904755,7.968
220,44.223,0.8092964521179192,0.832,2.002075146236155,1.67,7.386240116759847,7.911
221,44.316,0.7710850495793371,0.73,2.0338051452666157,1.893,7.369755026179702,7.821
222,44.443,0.7501104555322616,0.677,2.0795491506516113,2.104,7.360935516588657,7.749
