,time,inputAngle2,theta2,inputAngle3,theta3,inputAngle4,theta4
96,22.856,-1.56742236430478,-1.299849476456476,-1.169710952780376,-1.503331302272992,-0.44780899560003734,-0.7702935720185504
97,22.953,-1.56542410923171,-1.2847448850775784,-1.1845952735830971,-1.503331302272992,-0.45996448125589645,-0.896777406106527
98,23.051,-1.5619837758429855,-1.2490457723982544,-1.20435648067372,-1.519559159391478,-0.47629691650652767,-1.0164888305933455
99,23.154,-1.5586562959344479,-1.2397002500907646,-1.2197021619346415,-1.533313890103235,-0.4891424964080527,-1.0258343529008354
100,23.289,-1.5516113057979253,-1.2490457723982544,-1.2456956557703105,-1.5337762109209665,-0.5112523512389017,-1.0447299077981334
101,23.393,-1.5468943006446356,-1.2277723863741932,-1.2600812992329165,-1.546410917622178,-0.523693743039803,-1.1284221038181517
102,23.477,-1.5409020511980622,-1.1839206090638685,-1.276097589620418,-1.546410917622178,-0.5377320921834294,-1.2629337683292217
103,23.568,-1.534669481586097,-1.1562894522101106,-1.290796240232258,-1.546410917622178,-0.5508012399543584,-1.3170137825490984
104,23.669,-1.5272413643602163,-1.176005207095135,-1.3063739587375365,-1.5590321636451379,-0.5648613820068473,-1.3045442776439715
105,23.752,-1.5199633811377815,-1.176005207095135,-1.320061827999521,-1.5590321636451379,-0.5774077755408722,-1.3045442776439715
106,23.846,-1.5129322220321058,-1.124690777851493,-1.332110834387919,-1.5591689438385128,-0.5886123368550631,-1.4405266551471165
107,23.962,-1.5020316908135203,-1.0882830317724197,-1.348970209850067,-1.5591689438385128,-0.6045641259701946,-1.5707963267948968
108,24.061,-1.4929984662821414,-1.067953115867036,-1.36158154495485,-1.5591689438385128,-0.6167243629897017,-1.6853208195502913
109,24.158,-1.4813555307360806,-1.0460005551447893,-1.376367217689059,-1.5591689438385128,-0.6312550998867624,-1.7468210948610972
110,24.25,-1.4722791062648761,-1.0074800653029286,-1.3869308356151984,-1.5707963267948966,-0.6418347656965184,-1.79937575097005
111,24.359,-1.459883147463755,-0.9964914966201949,-1.4002115627080125,-1.5707963267948966,-0.6553942548921896,-1.8899187663487798
112,24.473,-1.444593955075381,-0.9179496956941223,-1.4150516109463762,-1.5707963267948966,-0.6709249249312013,-2.0765646025072684
113,24.592,-1.4297274084925862,-0.9179496956941223,-1.4281105927851312,-1.5707963267948966,-0.6849658025082808,-2.0765646025072684
114,24.67,-1.416642599913653,-0.8884797719201485,-1.438649829819908,-1.5819069806925041,-0.696586658401399,-2.1060345262812423
115,24.759,-1.4050739016711558,-0.8884797719201485,-1.4473144946150893,-1.5817848954776303,-0.7063572232462457,-2.142455660495749
116,24.853,-1.3899054900332408,-0.8198672643969563,-1.45785045116201,-1.5817848954776303,-0.7185330657193265,-2.222056736701675
117,24.936,-1.3779232833787496,-0.8198672643969563,-1.465578658422094,-1.5925320336366893,-0.727694305175575,-2.222056736701675
118,25.023,-1.3639539248142403,-0.7509290623979403,-1.4739919721413448,-1.5816654639721668,-0.7379171564265017,-2.2971868100332635
119,25.121,-1.3469997216776999,-0.6823165548747481,-1.4834229334809323,-1.5925320336366893,-0.7497269318327657,-2.3686162115143
120,25.237,-1.3330978025335916,-0.6022873461349642,-1.4905774679487258,-1.5922983887811277,-0.7589683287142954,-2.448645420254084
121,25.337,-1.309440943232043,-0.5585993153435624,-1.5016782422225357,-1.5922983887811277,-0.7738752908241918,-2.4974880445680263
122,25.421,-1.2924812142348698,-0.4636476090008061,-1.5088838889095528,-1.5920697128189578,-0.7839896368725502,-2.5948038127005457
123,25.5,-1.2796369947033512,-0.48689923181126904,-1.513959867065024,-1.5920697128189578,-0.7913603441642449,-2.5737893226232935
124,25.584,-1.2614549307160148,-0.5317240672588056,-1.5206253784542596,-1.6137805866626678,-0.8014004186030903,-2.528964487175757
125,25.674,-1.243588328592346,-0.5317240672588056,-1.5266237453933966,-1.6133238614146808,-0.8108495607719146,-2.5835588690780655
126,25.758,-1.2295910356430169,-0.48689923181126904,-1.5309674775986337,-1.6137805866626678,-0.8179842553134353,-2.6021103601675826
127,25.853,-1.2101096408681413,-0.48689923181126904,-1.5365276350643473,-1.6133238614146808,-0.8275492029861264,-2.6034562543751054
